dimension,category,participants,positives,prevalence,weighted_prevalence,mean_risk_score
age_band,20-34,985,5,0.005076142131979695,0.004528694269939093,0.012982622300563382
age_band,35-44,768,19,0.024739583333333332,0.02230401321144705,0.016471356714421934
age_band,45-54,611,15,0.024549918166939442,0.02119903485841693,0.02552136331289641
age_band,55-64,936,27,0.028846153846153848,0.02860921095337518,0.028338759587897354
age_band,65+,1398,50,0.0357653791130186,0.033987473806542726,0.03459677030604045
sex,Female,2614,59,0.0225707727620505,0.01783120141474134,0.02294573465434115
sex,Male,2084,57,0.027351247600767754,0.022862546921771462,0.02684388262119932
race_ethnicity,Mexican American,304,15,0.049342105263157895,0.042737753152530575,0.03023481884346438
race_ethnicity,Non-Hispanic Asian,251,5,0.0199203187250996,0.021510115465087406,0.019685744310642236
race_ethnicity,Non-Hispanic Black,517,26,0.05029013539651837,0.04609049461824266,0.05264785622522731
race_ethnicity,Non-Hispanic White,2872,57,0.019846796657381614,0.016043772931071516,0.02062515677139396
race_ethnicity,Other / Multi-racial,285,2,0.007017543859649123,0.003283373294447426,0.017122516172908574
race_ethnicity,Other Hispanic,469,11,0.023454157782515993,0.014145512775222432,0.022294213205709717
education,9-11th grade,307,19,0.06188925081433225,0.0598355256593428,0.05188665101990834
education,< 9th grade,179,11,0.061452513966480445,0.04971153919500022,0.037954855569285566
education,College graduate+,1834,29,0.015812431842966195,0.012909481820143376,0.018184770776568424
education,High school / GED,944,23,0.024364406779661018,0.02046035198737096,0.027827882894735805
education,Some college / AA,1432,34,0.023743016759776536,0.01890388618280406,0.02343329683266435
bmi_category,<25 (normal),1395,7,0.005017921146953405,0.0028372227731005744,0.011499490206964608
bmi_category,25-29.9 (overweight),1541,26,0.016872160934458143,0.011583481520022124,0.01958912069146055
bmi_category,30-34.9 (obese I),912,39,0.04276315789473684,0.03448779305731542,0.03077673312794071
bmi_category,35+ (obese II+),793,43,0.05422446406052964,0.05364998845599177,0.05051890854988531
waist_band,<90,1408,5,0.0035511363636363635,0.002067264772307494,0.009713738312517683
waist_band,90-99,1122,17,0.015151515151515152,0.011128550846156311,0.017484561511832333
waist_band,100-109,940,30,0.031914893617021274,0.026914734027043793,0.027264935324972393
waist_band,110+,1042,60,0.05758157389635317,0.05161660832376856,0.050416963774443935
