threshold,flag_rate,recall_sensitivity,precision_ppv,specificity,true_positives,false_positives
0.01,0.7088122605363985,0.9913793103448276,0.03453453453453453,0.2983413356612833,115,3215
0.0125,0.6151553852703278,0.9913793103448276,0.039792387543252594,0.3943692710606722,115,2775
0.015,0.5423584504044274,0.9741379310344828,0.04434850863422292,0.46857267568747274,113,2435
0.0175,0.47232865048957,0.9482758620689655,0.04957187922487607,0.5397206460061109,110,2109
0.02,0.4118773946360153,0.9310344827586207,0.05581395348837209,0.6012658227848101,108,1827
0.0225,0.362281822051937,0.8620689655172413,0.05875440658049354,0.650371017023134,100,1602
0.025,0.31800766283524906,0.8017241379310345,0.06224899598393574,0.6942383238760367,93,1401
0.0275,0.2794806300553427,0.7758620689655172,0.06854531607006854,0.733085988651244,90,1223
0.03,0.2501064282673478,0.7068965517241379,0.06978723404255319,0.7614578786556089,82,1093
0.0325,0.22137079608343976,0.6551724137931034,0.07307692307692308,0.7896115233522479,76,964
0.035,0.20157513835674756,0.5517241379310345,0.0675818373812038,0.8072893932780445,64,883
0.0375,0.1798637718177948,0.5086206896551724,0.06982248520710059,0.8284591881274552,59,786
0.04,0.16475095785440613,0.45689655172413796,0.06847545219638243,0.8426451331296377,53,721
0.0425,0.15155385270327798,0.4224137931034483,0.06882022471910113,0.855303360977739,49,663
0.045,0.13665389527458494,0.4224137931034483,0.0763239875389408,0.8705805325185508,49,593
0.0475,0.12473392933163048,0.3706896551724138,0.07337883959044368,0.881492797904845,43,543
0.05,0.11302681992337164,0.3620689655172414,0.07909604519774012,0.8932780445220427,42,489
0.0525,0.10238399318859089,0.31896551724137934,0.07692307692307693,0.9030990833697076,37,444
0.055,0.09493401447424436,0.29310344827586204,0.07623318385650224,0.9100829332169358,34,412
0.0575,0.08471690080885483,0.25862068965517243,0.07537688442211055,0.9196857267568748,30,368
0.06,0.07896977437207323,0.25,0.07816711590296496,0.9253601047577477,29,342
